DATE,Wind,Precip,Snow,SnowDepth,Temp,TempHigh,TempLow,FastestWindDirection,FastestWindSpeed
1/1/16,12.75,0,0,0,31,35,29,250,23
1/2/16,8.5,0,0,0,30,36,26,220,17
1/3/16,10.74,0.01,0.1,0,32,34,28,210,17
1/4/16,12.97,0.03,0.6,0,26,28,12,320,25.9
1/5/16,2.46,0,0,0,15,27,7,150,8.9
1/6/16,1.34,0,0,0,23,41,10,230,10.1
1/7/16,1.57,0,0,0,29,47,16,80,8.1
1/8/16,3.13,0.28,0,0,30,41,22,150,8.9
1/9/16,7.38,0.05,0,0,45,54,39,130,17
1/10/16,16.11,0.49,0.4,0,42,48,19,280,36
1/11/16,10.51,0.01,0.1,0,19,22,13,280,21.9
1/12/16,14.76,0.23,4.7,1.2,24,31,12,280,31.1
1/13/16,8.5,0,0.1,3.9,11,19,3,240,18.1
1/14/16,7.61,0,0,2,28,43,19,220,16.1
1/15/16,6.71,0.12,0,1.2,42,49,36,190,16.1
1/16/16,10.51,0.03,0,0,38,41,30,290,21
1/17/16,10.29,0.05,0.9,0,29,30,9,300,28
1/18/16,12.75,0,0,1.2,10,13,5,280,21.9
1/19/16,8.05,0,0.1,1.2,10,18,5,290,18.1
1/20/16,3.36,0.06,2,1.2,12,19,4,300,14.1
1/21/16,4.7,0,0,2,16,22,10,290,12.1
1/22/16,7.83,0.32,2.9,2,17,23,10,50,18.1
1/23/16,12.08,0.1,2,3.9,21,29,12,340,21
1/24/16,4.7,0,0,3.1,17,28,7,230,15
1/25/16,5.37,0,0,2,27,44,15,190,13
1/26/16,12.97,0,0,1.2,43,50,32,240,23.9
1/27/16,8.28,0,0,0,31,33,21,270,18.1
1/28/16,8.72,0,0,0,28,43,20,210,21
1/29/16,13.42,0.01,0.7,0,32,36,19,310,28
1/30/16,8.5,0,0,0,32,55,17,210,21
1/31/16,9.84,0,0,0,53,61,48,210,23.9
2/1/16,8.95,0.05,0,0,49,60,30,290,23
2/2/16,8.95,0,0,0,35,50,24,120,21
2/3/16,12.3,0.47,0,0,52,62,41,320,23.9
2/4/16,7.61,0,0,0,40,41,29,280,18.1
2/5/16,8.28,0.01,0.2,0,30,36,25,300,19.9
2/6/16,6.71,0,0,0,33,43,25,250,15
2/7/16,4.92,0,0,0,35,51,21,210,15
2/8/16,6.71,0.04,0,0,37,44,30,210,21
2/9/16,7.38,0.17,2,0,31,32,24,250,17
2/10/16,11.63,0.1,2.5,1.2,22,24,14,270,21
2/11/16,11.63,0.01,0.2,3.9,15,18,8,290,25.1
2/12/16,7.16,0.02,1,3.1,12,20,4,290,28
2/13/16,15.43,0.01,0.8,3.1,12,15,2,290,28
2/14/16,3.8,0,0,3.1,7,19,-2,100,13
2/15/16,7.83,0.27,0.1,2,24,34,19,120,15
2/16/16,10.07,0.81,1.5,1.2,33,35,30,310,19.9
2/17/16,8.05,0.03,0.6,1.2,31,34,23,300,16.1
2/18/16,3.36,0,0,2,24,33,11,20,13
2/19/16,11.18,0,0,1.2,36,59,24,240,25.9
2/20/16,14.76,0,0,0,58,67,48,230,30
2/21/16,6.04,0,0,0,48,55,35,360,21
2/22/16,6.71,0,0,0,38,49,29,50,14.1
2/23/16,8.5,0,0,0,41,53,33,110,16.1
2/24/16,11.18,1.01,0,0,45,62,39,120,21.9
2/25/16,16.78,0.1,0.5,0,38,45,27,310,31.1
2/26/16,14.54,0,0.1,0,27,31,22,310,30
2/27/16,9.17,0,0,0,30,41,27,240,18.1
2/28/16,11.86,0,0,0,46,63,35,220,25.9
2/29/16,13.42,0.04,0,0,49,59,36,300,35.1
3/1/16,10.51,0.31,0,0,46,65,30,290,33.1
3/2/16,15.66,0,0,0,33,38,24,300,33.1
3/3/16,5.14,0.04,0.7,0,27,34,18,150,12.1
3/4/16,5.82,0.08,1,2,31,33,29,340,13
3/5/16,3.36,0,0,0,33,41,29,160,8.9
